Year,advertising,sales
0,1907,608,1016
1,1908,451,921
2,1909,529,934
3,1910,543,976
4,1911,525,930
5,1912,549,1052
6,1913,525,1184
7,1914,578,1089
8,1915,609,1087
9,1916,504,1154
10,1917,752,1330
11,1918,613,1980
12,1919,862,2223
13,1920,866,2203
14,1921,1016,2514
15,1922,1360,2726
16,1923,1482,3185
17,1924,1608,3351
18,1925,1800,3438
19,1926,1941,2917
20,1927,1229,2359
21,1928,1373,2240
22,1929,1611,2196
23,1930,1568,2111
24,1931,983,1806
25,1932,1046,1644
26,1933,1453,1814
27,1934,1504,1770
28,1935,807,1518
29,1936,339,1103
30,1937,562,1266
31,1938,745,1473
32,1939,749,1423
33,1940,862,1767
34,1941,1034,2161
35,1942,1054,2336
36,1943,1164,2602
37,1944,1102,2518
38,1945,1145,2637
39,1946,1012,2177
40,1947,836,1920
41,1948,941,1910
42,1949,981,1984
43,1950,974,1787
44,1951,766,1689
45,1952,920,1866
46,1953,964,1896
47,1954,811,1684
48,1955,789,1633
49,1956,802,1657
50,1957,770,1569
51,1958,639,1390
52,1959,644,1387
53,1960,564,1289
